Match,Winner,Red Percent
Ranking Match 260,Red,0.582272037728546
Ranking Match 261,Red,0.5059027051488435
Ranking Match 262,Blue,0.4183768641451489
Ranking Match 263,Red,0.6675426739898163
Ranking Match 264,Red,0.5215122489344898
Ranking Match 265,Blue,0.344575470257034
Ranking Match 266,Blue,0.426844047965733
Ranking Match 267,Blue,0.4927270503986064
Ranking Match 268,Blue,0.34161842619062205
Ranking Match 269,Red,0.5350395743800552
Ranking Match 270,Red,0.5003925723498003
Ranking Match 271,Blue,0.43357701807184384
Ranking Match 272,Red,0.7579521730146753
Ranking Match 273,Red,0.5032349005255214
Ranking Match 274,Blue,0.4752250644654662
Ranking Match 275,Blue,0.4943528408686639
Ranking Match 276,Blue,0.3738320526945774
Ranking Match 277,Blue,0.48155877226352406
Ranking Match 278,Red,0.6211275798268917
Ranking Match 279,Red,0.5241768826040992
Ranking Match 280,Red,0.5640458725576075
Ranking Match 281,Blue,0.4403555605476935
Ranking Match 282,Blue,0.4547442065902956
Ranking Match 283,Red,0.5030982833422193
Ranking Match 284,Red,0.5149044562026317
Ranking Match 285,Blue,0.41022522877055706
Ranking Match 286,Blue,0.32933084752545516
Ranking Match 287,Blue,0.368860413982782
Ranking Match 288,Blue,0.3673567937105069
Ranking Match 289,Blue,0.406319292712874
Ranking Match 290,Blue,0.46175402789257236
Ranking Match 291,Red,0.5525982517101475
Ranking Match 292,Red,0.5812005037873781
Ranking Match 293,Red,0.5156340914441412
Ranking Match 294,Red,0.5300685807709468
Ranking Match 295,Red,0.525197569038424
Ranking Match 296,Blue,0.4662958284019819
Ranking Match 297,Blue,0.45605700339746125
Ranking Match 298,Red,0.623244660372779
Ranking Match 299,Blue,0.42421045853648015
Ranking Match 300,Red,0.5093892698659019
Ranking Match 301,Red,0.5213418270082376
Ranking Match 302,Red,0.5316609955461045
Ranking Match 303,Red,0.5210835396071661
Ranking Match 304,Red,0.5154448690483259
Ranking Match 305,Blue,0.3392032497610382
Ranking Match 306,Blue,0.3843361963989885
Ranking Match 307,Red,0.5582729886409525
Ranking Match 308,Red,0.5771713637661172
Ranking Match 309,Red,0.7018673316127932
Ranking Match 310,Red,0.6432890574665366
Ranking Match 311,Red,0.6424835156543972
Ranking Match 312,Red,0.7592193547439401
Ranking Match 313,Red,0.5595564675648496
Ranking Match 314,Red,0.5045409189936888
Ranking Match 315,Red,0.5438424329023663
Ranking Match 316,Red,0.6331706075454613
Ranking Match 317,Red,0.5160423445105901
Ranking Match 318,Blue,0.44953471893045144
Ranking Match 319,Red,0.5239954649373332
